# HAND JUDGEMENT LAYER for completeness-candidates.tsv -- read by
# scripts/completeness_harvest.py --write and merged into that table by
# (kind, pattern). Everything here is the lane-Y lead's reading of what LinkedIn
# drew, written 2026-09-23; nothing here is a census row and nothing moves one.
#
# scope   app      a member capability surface
#         chrome   site furniture: skip links, nav badges, footer, carousels
#         docs     Help Center and legal pages: documentation, not capability
#         off-app  another linkedin.com host (corporate, marketing, sales)
# slice   P profile/identity/settings/privacy, N network, J jobs (and the
#         company-page tabs and Premium job features the jobs slice already
#         holds), M messaging and content, - none of the four
# rw      R reads a surface, W changes something or starts a flow that does
# A blank cell keeps the value the instrument derives.
kind	pattern	scope	slice	rw	appears_to_be
address	/help/linkedin/answer/<opaque>	docs	-	R	Help Center article ('Learn more' links); the census's own taxonomy source, not a capability
address	/mynetwork	app	N	R	My Network hub, global nav; census rows name its sub-pages, no row carries the hub
address	/mypreferences/d	app	P	R	Settings index ('Manage your account and privacy'); census carries it in prose only
address	/mypreferences/d/categories/account	app	P	R	Settings category page: Account preferences (settings side nav)
address	/analytics/creator/top-posts	app	M	R	Creator analytics: top posts list
address	/analytics/recruiter-views	app	P	R	Premium: recruiters who viewed your profile ('N recruiters viewed your profile')
address	/company/<entity>/about	app	J	R	Company page tab: About -- ADDRESS ONLY: the capability is census row J 106 in words [cold-verified: capability recorded]
address	/company/<entity>/home	app	J	R	Company page tab: Home -- ADDRESS ONLY: the capability is census row J 110 in words [cold-verified: capability recorded]
address	/company/<entity>/insights	app	J	R	Company page tab: Insights (Premium company insights) -- ADDRESS ONLY: the capability is census row J 113 in words
address	/company/<entity>/jobs	app	J	R	Company page tab: Jobs -- ADDRESS ONLY: the capability is census row J 107 in words
address	/company/<entity>/life	app	J	R	Company page tab: Life -- ADDRESS ONLY: the capability is census row J 109 in words
address	/company/<entity>/posts	app	J	R	Company page tab: Posts -- ADDRESS ONLY: the capability is census row J 110 in words
address	/company/<entity>/product	app	J	R	Company page Products tab, singular spelling -- ADDRESS ONLY: the capability is census row J 111 in words
address	/company/<entity>/products	app	J	R	Company page tab: Products -- ADDRESS ONLY: the capability is census row J 111 in words
address	/company/<entity>/products/<entity>	app	J	R	Company page: one product, 'Ask people about this product' -- ADDRESS ONLY: the capability is census row J 111 in words
address	/company/<entity>/services	app	J	R	Company page tab: Services -- ADDRESS ONLY: the capability is census row J 111 in words
address	/feed/followers	app	P	R	His own followers list ('N followers'); the list half of the L2 / L2b split -- ADDRESS ONLY: the capability is census row P L2b in words
address	/help/learning	docs	-	R	LinkedIn Learning help
address	/help/learning/answer/<opaque>	docs	-	R	LinkedIn Learning help article (team purchase)
address	/help/linkedin/ask/DAD	docs	-	W	Help: accessibility feedback form
address	/help/linkedin/ask/PR-CGPA	docs	-	W	Help: contact customer support form
address	/in/<entity>/details/featured	app	P	R	Profile: Featured section detail page
address	/in/<entity>/edit/forms/<opaque>/new	app	P	W	Profile editor: an add-to-profile form keyed by id
address	/in/<entity>/edit/forms/position/new	app	P	W	Profile editor: add an Experience (position)
address	/in/<entity>/edit/secondary-language	app	P	W	Profile: create the profile in another language
address	/in/<entity>/en	app	P	R	Profile: a language-specific rendering of a profile
address	/in/<entity>/opportunities/services/education	app	P	R	Profile: 'Open to' providing services, explainer page
address	/in/<entity>/opportunities/volunteering/education	app	P	R	Profile: 'Open to' volunteering, explainer page
address	/in/<entity>/overlay/<opaque>	app	P	R	Profile overlays keyed by id ('people also viewed', 'Try it')
address	/in/<entity>/overlay/enhance	app	P	W	Profile: 'Enhance profile' AI writing overlay
address	/in/<entity>/recent-activity/all	app	M	R	A member's activity: all posts
address	/in/<entity>/skill-insights/<seg>	app	P	R	Profile: insight page for one skill (where it was used)
address	/jobs/collections/top-choice	app	J	R	Premium job collection: Top choice
address	/jobs/preferences	app	J	R	Jobs: job-seeker preferences page (jobs nav)
address	/jobs/search-results	app	J	R	Jobs: the AI search results route ('See more jobs like this'), apart from /jobs/search/ -- ADDRESS ONLY: the capability is census row J 1 in words
address	/jobs/view/<opaque>/apply	app	J	W	Apply entry route for a posting (Easy Apply); apply_job is inventoried, this address is not -- ADDRESS ONLY: the capability is census row J 60 in words
address	/learning	app	J	R	LinkedIn Learning home (global nav) -- TRUE GAP [cold-verified]
address	/learning/<opaque>/<opaque>	app	J	R	Learning: a course or video page
address	/learning/browse	app	J	R	Learning: browse the catalogue
address	/learning/browse/certifications	app	J	R	Learning: certifications catalogue
address	/learning/career-journey	app	J	R	Learning: My career journey
address	/learning/chatbot	app	J	R	Learning: AI coach (chat)
address	/learning/me/my-library	app	J	R	Learning: My library -- TRUE GAP [cold-verified]
address	/learning/me/my-library/in-progress	app	J	R	Learning: My library, in progress
address	/learning/role-play/scenarios/new	app	J	W	Learning: start a new AI role-play scenario -- ADDRESS ONLY: the capability is census row J 132 in words
address	/learning/settings	app	J	R	Learning: settings
address	/learning/showcase/<entity>	app	J	R	Learning: a showcase collection
address	/learning/subscription/teams	off-app	-	W	Learning: buy for my team (purchase)
address	/learning/topics/<entity>	app	J	R	Learning: a topic page
address	/messaging/thread/new	app	M	W	Messaging: new thread to a member ('Message X'), apart from /messaging/compose/ -- ADDRESS ONLY: the capability is census row M M1 in words [cold-verified: capability recorded]
address	/mynetwork/discover-hub	app	N	R	My Network: Discover more hub
address	/mynetwork/discovery-see-all	app	N	R	My Network: full discovery lists (people you may know and similar) -- ADDRESS ONLY: the capability is census row N 97 in words [cold-verified]
address	/mypreferences/d/categories/ads	app	P	R	Settings category page: Advertising data
address	/mypreferences/d/categories/privacy	app	P	R	Settings category page: Data privacy
address	/mypreferences/d/categories/profile-visibility	app	P	R	Settings category page: Visibility
address	/mypreferences/d/categories/sign-in-and-security	app	P	R	Settings category page: Sign in and security -- ADDRESS ONLY: its settings are census rows P N4 to P N11 [cold-verified]
address	/newsletters/<entity>	app	M	R	A newsletter's own page
address	/preload/report-in-modal	app	M	W	Report-abuse flow in a modal
address	/premium/premium-perks	app	J	R	Premium: partner perks ('N months on us')
address	/premium/profile-key-skills	app	P	W	Premium: add key skills so recruiters find the profile
address	/premium/sb/explore	app	J	R	Premium: explore all features
address	/premium/switcher	app	J	W	Premium: change plan
address	/products/<entity>	app	J	R	A LinkedIn product page (a third party's software product)
address	/products/<opaque>	app	J	R	A LinkedIn product page, id-keyed
address	/psettings/group/<opaque>	app	N	W	One group's own settings page ('Update your settings')
address	/search/results/all	app	M	R	All-results search, drawn from hashtags ('View hashtag: X') -- TRUE GAP [cold-verified; the verifier's neighbouring match set aside by the lead]
address	/	chrome	-	R	LinkedIn home (the logo link, the feed)
address	/accessibility	chrome	-	R	Accessibility statement (footer and nav menu)
address	/ad-library/search	app	J	R	Ad Library search ('View ad library' on a company page)
address	/ad/start	chrome	-	W	Advertise: Campaign Manager entry (footer and nav menu)
address	/explore-career-insights	app	J	R	Premium career insights ('people and companies hiring for the job you want')
address	/job-apply-resources	app	J	W	Jobs AI: tailor my resume to a posting -- ADDRESS ONLY: the capability is census row J 146 in words [cold-verified]
address	/legal/<opaque>	docs	-	R	Legal and policy pages (community policies and similar)
address	/legal/cookie-policy	docs	-	R	Cookie policy (footer)
address	/legal/copyright-policy	docs	-	R	Copyright policy (footer)
address	/legal/eula	docs	-	R	End user licence agreement
address	/legal/privacy-policy	docs	-	R	Privacy policy (footer)
address	/legal/user-agreement	docs	-	R	User agreement (footer)
address	/manage/purchases-payments/purchases/<opaque>	app	P	W	Account: manage a subscription purchase ('Manage subscription')
address	/mobile	chrome	-	R	Get the LinkedIn app (footer)
address	/safety/go	chrome	-	R	External-link interstitial that wraps off-site links ('Apply on company website')
address	/showcase/<entity>	app	N	R	A showcase page (a company's sub-brand page)
address	/talent/job-posting-redirect	app	J	W	Hiring side: post a job ('Post a free job')
address	/trust/verification	app	P	W	Identity verification flow ('Verify now') -- ADDRESS ONLY: the capability is census row P K2 in words [cold-verified]
address	/video/event/<opaque>	app	M	R	LinkedIn Live video event page
address	about.linkedin.com/	off-app	-	R	Corporate About site
address	business.linkedin.com/advertise	off-app	-	R	Marketing Solutions site (For Business menu)
address	business.linkedin.com/grow	off-app	-	R	Small business site (For Business menu)
address	business.linkedin.com/sales-solutions	off-app	-	R	Sales Solutions site (For Business menu)
address	business.linkedin.com/talent-solutions	off-app	-	R	Talent Solutions site (For Business menu)
address	careers.linkedin.com/	off-app	-	R	LinkedIn careers site
address	learning.linkedin.com/en-us/<opaque>	off-app	-	R	Learning for organisations (sales site)
address	learning.linkedin.com/instructors	off-app	-	R	Learning instructors site
address	mobile.linkedin.com/	off-app	-	R	Mobile apps site
address	premium.linkedin.com/cx/<seg>/<seg>/<opaque>	off-app	P	R	Premium offers page ('See your offers')
address	safety.linkedin.com/	off-app	-	R	Safety Center site
control	<X> to active job details	a11y	J	R	Skip link to the active job's details
control	<X> to aside	a11y	-	R	Skip link (aside)
control	<X> to primary content	a11y	-	R	Skip link (primary content)
control	Activate to view larger image,	app	M	R	Open an image in the viewer
control	Add custom button	app	P	W	Profile: add a custom button (Premium / creator)
control	Apply current filter to show results	app	J	R	Jobs search: apply one filter panel's selection
control	Apply to <X> on company website	app	J	W	Apply off-site, on the company's website
control	Are you finding what you're looking for? <X>	app	J	W	Feedback on search results (yes / no)
control	Attach a file for your draft conversation	app	M	W	Messaging: attach a file to a draft
control	Attach an image for your draft conversation	app	M	W	Messaging: attach an image to a draft -- CONTROL ONLY: the capability is census row M M14 [cold-verified]
control	Business <X>	chrome	-	R	For Business / Business Services menu
control	Cancel <X> filter	app	J	R	Jobs search: remove one filter pill
control	Cancel <X> level filter	app	J	R	Jobs search: remove the experience-level filter pill
control	Cancel <X> posted filter	app	J	R	Jobs search: remove the date-posted filter pill
