dependent	donor	read_distance	donor_kind	dependent_state	slice	dependent_reason_head
J 51	J 50	1	US-BOUNDARY|US-RULING	GAP	jobs.md	same allowlist and same sentence **RETURNED TO G
J 52	J 50	2	US-BOUNDARY|US-RULING	GAP	jobs.md	same allowlist and same sentence **RETURNED TO G
J 61	J 60	1	US-RULING	GAP	jobs.md	same gate; a screening screen is an advance cont
J 62	J 60	2	US-RULING	GAP	jobs.md	same gate **RETURNED TO GAP 2026-09-23 BY LANE R
J 63	J 60	3	US-RULING	GAP	jobs.md	same gate **RETURNED TO GAP 2026-09-23 BY LANE R
J 64	J 60	4	US-RULING	GAP	jobs.md	same gate **RETURNED TO GAP 2026-09-23 BY LANE R
J 65	J 60	5	US-RULING	GAP	jobs.md	same gate **RETURNED TO GAP 2026-09-23 BY LANE R
J 67	J 66	1	ACCOUNT-FACT+US-RULING	XR	jobs.md	same reason: off-domain **KEPT OUT OF SCOPE 2026
J 75	J 74	1	US-BOUNDARY|US-RULING	GAP	jobs.md	same settings-family refusal **RETURNED TO GAP 2
J 76	J 74	2	US-BOUNDARY|US-RULING	GAP	jobs.md	same settings-family refusal **RETURNED TO GAP 2
J 77	J 74	3	US-BOUNDARY|US-RULING	GAP	jobs.md	same settings-family refusal **RETURNED TO GAP 2
J 90	J 89	1	US-BOUNDARY|US-RULING	GAP	jobs.md	same spec; `server.py:3652` -- "none of those an
J 91	J 89	2	US-BOUNDARY|US-RULING	GAP	jobs.md	same spec **RETURNED TO GAP 2026-09-23 BY LANE R
M M2	M M1	1	UNCLEAR	COVERED-CANNOT-DELIVER	messaging-and-content.md	same tool, same gate; additionally spends a mete
M M8	M M7	1	-	GAP	messaging-and-content.md	same
M M15	M M14	1	US-RULING	GAP	messaging-and-content.md	same mutation class  **THE STATED REASON WENT ST
M M18	M M17	1	-	GAP	messaging-and-content.md	same mutation class as M14  **THE STATED REASON 
M M28	M M27	1	-	GAP	messaging-and-content.md	same  **THE LIVE ZERO REPRODUCES OFFLINE, WITH I
M C4	M C3	1	US-BOUNDARY|US-RULING	GAP	messaging-and-content.md	same  **THE STATED REASON WENT STALE AND THE STA
M C5	M C3	2	US-BOUNDARY|US-RULING	GAP	messaging-and-content.md	same  **THE STATED REASON WENT STALE AND THE STA
M C14	M C13	1	US-RULING	GAP	messaging-and-content.md	same measurement **RETURNED TO GAP 2026-09-23 BY
M C15	M C13	2	US-RULING	GAP	messaging-and-content.md	same **RETURNED TO GAP 2026-09-23 BY LANE R (202
M C16	M C13	3	US-RULING	GAP	messaging-and-content.md	same **RETURNED TO GAP 2026-09-23 BY LANE R (202
M C17	M C13	4	US-RULING	EXCLUDED-RULED	messaging-and-content.md	same, plus `delete_or_withdraw_anything`
M C21	M C20	1	ACCOUNT-FACT|US-RULING	GAP	messaging-and-content.md	same entry **RETURNED TO GAP 2026-09-23 BY LANE 
M C24	M C23	1	-	GAP	messaging-and-content.md	same menu
M C37	M C36	1	US-BOUNDARY|US-RULING	GAP	messaging-and-content.md	same  **COST CORRECTED 2026-09-19 with C36; the 
M C51	M C50	1	-	GAP	messaging-and-content.md	same
M C62	M C61	1	US-BOUNDARY|US-RULING	EXCLUDED-RULED	messaging-and-content.md	same; `/withdraw` is a forbidden substring, whic
M C63	M C61	2	US-BOUNDARY|US-RULING	GAP	messaging-and-content.md	same
M C65	M C64	1	-	GAP	messaging-and-content.md	same
M C66	M C64	2	-	GAP	messaging-and-content.md	same  **RETIRED 2026-09-19 on the MENTION/TAG AC
N 61	N 59	2	-	GAP	network.md	Same uncertainty
N 100	N 99	1	US-BOUNDARY	GAP	network.md	Same -- **and this cell is DELIBERATELY STILL A 
N 134	N 133	1	ACCOUNT-FACT|US-BOUNDARY|US-RULING	GAP	network.md	Same. **THE PANEL EXISTS AND ITS CONTROL IS REND
N 135	N 133	2	ACCOUNT-FACT|US-BOUNDARY|US-RULING	COVERED-PROVEN	network.md	Same  **BANKED 2026-09-19. BUILT AFTER THE CENSU
P A5	P A4	1	US-RULING	COVERED-PROVEN	profile.md	same live reading
P A6	P A4	2	US-RULING	COVERED-CANNOT-DELIVER	profile.md	same measurement
P A27	P A26	1	ACCOUNT-FACT|US-RULING	GAP	profile.md	same. **There is no address field** -- `a565128`
P A28	P A26	2	ACCOUNT-FACT|US-RULING	GAP	profile.md	same panel **LANE L7, 2026-09-24 -- SELF-PRIVATE
P A29	P A26	3	ACCOUNT-FACT|US-RULING	GAP	profile.md	same panel **LANE L7, 2026-09-24 -- SELF-PRIVATE
P B3	P B2	1	US-RULING	GAP	profile.md	same ruling. `a541850` names the pop-up controls
P B5	P B4	1	US-BOUNDARY|US-RULING	GAP	profile.md	same ruling **RETURNED TO GAP 2026-09-23 BY LANE
P C5	P C4	1	US-BOUNDARY|US-RULING	GAP	profile.md	same page **EXCLUDED-RULED 2026-09-20 BY CO-LOCA
P C6	P C4	2	US-BOUNDARY|US-RULING	GAP	profile.md	same page **EXCLUDED-RULED 2026-09-20 BY CO-LOCA
P D10	P D9	1	US-BOUNDARY|US-RULING	COVERED-CANNOT-DELIVER	profile.md	same shape as D4: `education_entries: None` decl
P D15	P D14	1	US-BOUNDARY|US-RULING|WORLD-FACT	GAP	profile.md	same. One official fact only: the Project URL fi
P D16	P D14	2	US-BOUNDARY|US-RULING|WORLD-FACT	GAP	profile.md	same **RETURNED TO GAP 2026-09-23 BY LANE R (202
P D17	P D14	3	US-BOUNDARY|US-RULING|WORLD-FACT	GAP	profile.md	same **RETURNED TO GAP 2026-09-23 BY LANE R (202
P E5	P E4	1	ACCOUNT-FACT+US-RULING	EXCLUDED-RULED	profile.md	same key, plus `delete_or_withdraw_anything`
P F4	P F3	1	US-RULING	GAP	profile.md	same key, same caveat **RETURNED TO GAP 2026-09-
P I3	P I2	1	US-BOUNDARY|US-RULING	GAP	profile.md	same, plus the green-frame residue clause. Help 
P I5	P I4	1	US-BOUNDARY|US-RULING	GAP	profile.md	same **RETURNED TO GAP 2026-09-23 BY LANE R (202
P I6	P I4	2	US-BOUNDARY|US-RULING	GAP	profile.md	same **RETURNED TO GAP 2026-09-23 BY LANE R (202
P I7	P I4	3	US-BOUNDARY|US-RULING	GAP	profile.md	same **RETURNED TO GAP 2026-09-23 BY LANE R (202
P I8	P I4	4	US-BOUNDARY|US-RULING	GAP	profile.md	same **RETURNED TO GAP 2026-09-23 BY LANE R (202
P I9	P I4	5	US-BOUNDARY|US-RULING	GAP	profile.md	same **RETURNED TO GAP 2026-09-23 BY LANE R (202
P I10	P I4	6	US-BOUNDARY|US-RULING	GAP	profile.md	same **RETURNED TO GAP 2026-09-23 BY LANE R (202
P I11	P I4	7	US-BOUNDARY|US-RULING	EXCLUDED-RULED	profile.md	same, plus `delete_or_withdraw_anything` **KEPT 
P J2	P J1	1	-	GAP	profile.md	same **LANE L7, 2026-09-24 -- VISIBLE-TO-OTHERS,
P J3	P J1	2	-	GAP	profile.md	same **LANE L7, 2026-09-24 -- VISIBLE-TO-OTHERS,
P M2	P M1	1	US-BOUNDARY|US-RULING	GAP	profile.md	same address, same entry **RETURNED TO GAP 2026-
P M3	P M1	2	US-BOUNDARY|US-RULING	EXCLUDED-RULED	profile.md	same address, plus `delete_or_withdraw_anything`
