# BUCKET 3, ONE LINE PER ROW: the page address of every read-direction
# still-GAP row that scripts/census_completion.py counts as "blocked on nothing
# at all", and what the SHIPPED read boundary says about that address.
#
# Method, the class definitions and every finding:
#     _audit/2026-09-23-bucket3-addresses.md
# Checked by scripts/check_read_addresses.py, which re-drives every address
# below through readonly.is_read_url and exits 1 on any disagreement, on any
# bucket-3 row with no line here, on any line for a row that has left the
# bucket, on any source (file, ::SYMBOL, census row) that no longer
# resolves, and -- since 2026-09-23 -- on any row blocked on nothing whose
# page a ruling holds (scripts/ruling_holds.py names those rulings and where
# each binds). census_completion.py counts the class column; it does not
# re-drive.
#
# is_read_url and refusal are MEASUREMENTS, re-taken on every check. Every
# other column is a JUDGEMENT, and each row names its source.
#
# EVERY VARIABLE SEGMENT IS A PLACEHOLDER -- placeholder-org, placeholder-school,
# placeholder-member, placeholder-newsletter, someone-else, 12345, 2-ABCdef123.
# The allowlist patterns accept a SHAPE, not a value, so no verdict depends on
# the value standing there, and no real identifier ever enters this file.
#
# class        ADMITTED | REFUSED | NO-ADDRESS | NEEDS-SESSION | UNDETERMINED
# basis        MEASURED  the address was seen served, or drawn on a live page
#                        or a capture
#              NAMED     written in code, a test, the census or an audit, and
#                        never observed served
#              INFERRED  constructed as representative, by a prior wave or
#                        this one; the row says which
# source_kind  code-symbol | test-fixture | census-prose | prior-audit
# refusal      the shipped refusal's kind, read off assert_read_url:
#              NO-PATTERN | FORBIDDEN[<substring>]+NO-PATTERN
#              | FORBIDDEN[<substring>]+PATTERN-WOULD-ADMIT
# gate         ADMITTED rows only: the first thing past the boundary --
#              READER | PRESS-PERMITTED | MEASURE | BUILT-UNFIRED | PRESS | RULING
#              | STANDING-RULING
#              RULING is a decision nobody has made. STANDING-RULING is one
#              that HAS been made and holds the page; the note cites it as
#              HELD BY `<ID>`. READER and PRESS-PERMITTED are "blocked on
#              nothing", and may never sit on a page a ruling holds.
# also_driven  other addresses the corpus names for the row, each re-driven:
#              <address>=><is_read_url> ; ...
slice	row	dir	class	address	basis	source_kind	source	is_read_url	refusal	gate	also_driven	note
P	A25	R	ADMITTED	https://www.linkedin.com/in/me/overlay/contact-info/	MEASURED	code-symbol	linkedin_server/dom.py::PROFILE_EDITOR_HREFS	True	-	MEASURE	https://www.linkedin.com/in/me/edit/intro/=>True	ADMITTED 2026-09-23 by lane L1, one anchored line, the /in/me/ form only, under PROFILE-EDITOR-ADDRESSES-ALLOWED: a NAVIGATION to the overlay, not the press the disclosing-press ruling refused. The link is drawn on his own profile (tracked profile_topcard fixtures, slug form) and named in dom.PROFILE_EDITOR_HREFS. Nothing has loaded it, so a live look comes first (live-lane key contact); any reader returns closed-vocabulary presence only -- no email, phone, website or birthday may cross back.
P	C8	R	ADMITTED	https://www.linkedin.com/in/me/	NAMED	prior-audit	_audit/2026-09-21-the-read-triage.md D4	True	-	RULING	-	D4: may this package create its own browser context. accept_downloads is a context-creation option and ATTACH mode never creates one; pinned by tests/test_profile_pdf_download_is_blocked_on_transport.py. The address carries no boundary cost.
P	D25	R	NEEDS-SESSION	-	-	census-prose	_audit/_census/profile.md row D25	-	-	n/a	-	Unknown: the href of the three 'Add section' anchors on /in/me/. A live probe measured them (rel same-host-path, path_depth 2, no ARIA disclosure) and drove their target through is_read_url, recording False with zero forbidden tokens -- but it recorded the boolean and deliberately never the address, and the census cell says the operator must name it. Not re-drivable offline.
P	D28	R	ADMITTED	https://www.linkedin.com/in/me/	MEASURED	prior-audit	_audit/2026-09-03-linkedin-gap-blockers.md Amendment C2	True	-	MEASURE	-	The phrase 'profile language' was measured rendering on /in/me/ (read half +0). IN-ME-NO-BLANKET-BAR (registered 2026-09-23) lifts the blanket bar on /in/me/ presses and judges each control on evidence, disclosure versus action, and this row has no control to judge: the reading found distinct_langs 1 and langs_other_than_document 0, and its measuring document says it does not prove a pressable control exists. A live look for the control comes first, and the press it needs is judged on what that look shows. press.check_basis still refuses /in/me/ with no_sensitivity_basis (measured in-process 2026-09-23): the shipped gate has not taken that ruling. MEASURE since 2026-09-23; was PRESS.
P	F1	R	ADMITTED	https://www.linkedin.com/in/me/	NAMED	code-symbol	scripts/_probe_profile_sections_live.py::PROFILE_URL	True	-	MEASURE	https://www.linkedin.com/in/me/details/recommendations/=>False	The detail address (also driven) is refused, so the route the repository pursues is the recommendations SECTION on the admitted profile, whose heading shape.PROFILE_SECTION_HEADINGS already lists among the profile's own sections. Its structure is UNMEASURED: four instruments failed their controls finding it (2026-09-19) and scroll is not sanctioned. recommendations.py (the name-free shaper) ships unwired. Corrects the read triage's ADDRESS/ABSENT, which priced only the detail spelling.
P	H11	R	ADMITTED	https://www.linkedin.com/in/me/	NAMED	prior-audit	_audit/2026-09-05-network-tail.md section 3	True	-	MEASURE	https://www.linkedin.com/in/me/details/services/=>False ; https://www.linkedin.com/services/page/=>False	The row is the section AS RENDERED ON THE PROFILE, so its page is /in/me/ (admitted); the two other spellings (also driven) are refused and serve the ten writes, not this read. Render gate unmeasured: nobody knows whether the section renders on a passive load. The read triage says the phrase sits in shape._TOPCARD_CHROME; measured, that set holds the 'add services' PROMPT, not the section, so no parser in the package reads the section either way. Corrects the read triage's ADDRESS/ABSENT, which priced the details spelling.
P	J4	R	ADMITTED	https://www.linkedin.com/in/me/	MEASURED	code-symbol	scripts/_probe_route_vs_surface.py::CANDIDATES (P J4)	True	-	MEASURE	-	The hiring state was sought behind the Open-to menu. Measured twice, fourteen days apart: hiring NAMED BUT INERT, the opener AMBIGUOUS, the menu holding three options and no state (read triage), whose record says 'the next step is still not a press'. IN-ME-NO-BLANKET-BAR (registered 2026-09-23) lifts the blanket bar on /in/me/ presses and judges each control on evidence; on this evidence the one press on record does not reach the state. What is unknown is where, and whether, the state renders on a passive load. press.check_basis still refuses /in/me/ with no_sensitivity_basis (measured in-process 2026-09-23). MEASURE since 2026-09-23; was PRESS.
P	K8	R	ADMITTED	https://www.linkedin.com/in/me/	MEASURED	prior-audit	_audit/2026-09-05-profile-rest.md	True	-	MEASURE	-	A reading exists at allowlist +0: top voice 0 in text AND 0 in accessible names, on an instrument shown able to disagree with itself. What remains is one live re-read to bank MEASURED-ABSENT (read triage 3.2), not a reader.
P	L1	R	ADMITTED	https://www.linkedin.com/analytics/creator/audience/	MEASURED	prior-audit	_audit/2026-09-20-the-live-capture.md 12.8	True	-	MEASURE	-	ADMITTED 2026-09-23 by lane L1, one anchored line, no query, no sub-path. Drawn on the admitted /analytics/creator/content/ as the analytics nav's 'Audience analytics' link (live capture 12.8 filed it as a candidate meeting the role-play standard). Nothing has loaded it: a live look first (live-lane key audience). The page is follower demographics -- aggregated other people -- so a reader owes census_shape plus census_redact_rare.
P	L2b	R	ADMITTED	https://www.linkedin.com/mynetwork/network-manager/people-follow/followers/	NAMED	code-symbol	scripts/_probe_network_tail_boundary.py (the follow-list candidate tagged N 44 / P L2b)	True	-	MEASURE	-	ADMITTED 2026-09-23 BY A REVIEW: COMMIT (lane L1): one anchored allowlist line plus a pattern exemption excusing /follow alone -- the network-tail spec, applied to the follower list only (the following list is N 38's and stays refused). NAMED, never seen drawn; the family is corroborated by LinkedIn's own bundle, which names the sibling people-follow/following namespace. It must be weighed against readonly.py's Manage-Pages stance -- leave the people list unread -- written about the FOLLOWING list (N 38, EXCLUDED-RULED on it). A live look first (live-lane key followers, badge bracketed). The page is a list of people: counts and relations only.
