# COMPLETENESS CANDIDATES -- generated by scripts/completeness_harvest.py --write
#
# Every line is a route shape or a control template that LinkedIn DREW on a
# page this repository captured, and that no census capability row carries.
# A CANDIDATE, NOT A CENSUS ROW. Nothing here is navigated or allowlisted.
#
# class    PROSE   only census prose or a census table note carries it
#          FAMILY  a census address is its prefix, or it is one's
#                  (relation child-of / parent-of / sibling)
#          NEW     no census address shares its first segment
#          CONTROL a control template no census row carries every word of
# scope    off-app (another linkedin host) | footer (drawn only in LinkedIn's
#          footer landmark) | app | a hand annotation (docs, chrome)
# word_rows  census rows carrying EVERY literal word of the route: the
#          capability may be recorded in words without its address. '-' is
#          the stronger signal: neither the address nor its words
# captures / surfaces  how many captures, and distinct surfaces, drew it
# regions  LinkedIn's own landmarks the address was drawn inside
# is_read_url  the SHIPPED boundary on a name-free spelling, re-taken each run
# known_elsewhere  audit / code / script / test files that name the same shape
# appears_to_be / slice / rw  hand judgement where annotated, else derived
#
# Every variable segment is <entity>, <opaque> or <seg>; controls carry <X> and
# <n>. No id, slug, name or query value is in this file. Exact-value veto: ARMED.
#
# Method and findings: _audit/2026-09-23-completeness-probe.md
# Verdicts (ADMIT / RECORDED / OUT, one per app-scope candidate) are the
# verdict columns of completeness-annotations.tsv; an ADMIT or RECORDED route
# is a census row now and leaves this table. _audit/2026-09-24-lane-y2-admission.md
kind	pattern	class	scope	relation	nearest_census	census_rows	word_rows	slice	rw	rw_basis	captures	surfaces	first_seen	regions	is_read_url	known_elsewhere	query_keys	drawn_as	appears_to_be
address	/help/linkedin/answer/<opaque>	PROSE	docs	exact	/help/linkedin/answer/<opaque>	jobs.md:198,messaging-and-content.md:156	P A22,M C88	-	R	a navigable page; no write segment	49	24	fixture/job_detail	dialog+footer+main+nav+none+section-footer+section-header	False	audit+code	trk	Ad <X> | Recommendation <X>	Help Center article ('Learn more' links); the census's own taxonomy source, not a capability
address	/help/learning	FAMILY	docs	sibling	/help/linkedin/answer/<opaque>	M Events,M Help root topic list,M LinkedIn Live,N 152,P N30,P N31	-	-	R	a navigable page; no write segment	2	1	cap-roleplay-target	footer	False	no	licu,lipi	Help	LinkedIn Learning help
address	/help/learning/answer/<opaque>	FAMILY	docs	sibling	/help/linkedin/answer/<opaque>	M Events,M Help root topic list,M LinkedIn Live,N 152,P N30,P N31	-	-	R	a navigable page; no write segment	2	1	cap-roleplay-target	none	False	no	licu,lipi,src,trk	Buy for my team <n> people or less	LinkedIn Learning help article (team purchase)
address	/help/linkedin/ask/DAD	FAMILY	docs	child-of	/help/linkedin/ask	N 152	-	-	W	hand judgement; the path alone reads R (a navigable page; no write segment)	2	1	cap-roleplay-target	nav	False	no	licu,lipi	Accessibility feedback <X>	Help: accessibility feedback form
address	/help/linkedin/ask/PR-CGPA	FAMILY	docs	child-of	/help/linkedin/ask	N 152	-	-	W	hand judgement; the path alone reads R (a navigable page; no write segment)	2	1	cap-premium-hub	aside	False	no	-	<X> support	Help: contact customer support form
address	/learning/subscription/teams	FAMILY	off-app	child-of	/learning	J 152	-	-	W	hand judgement; the path alone reads R (a navigable page; no write segment)	2	1	cap-roleplay-target	footer	False	no	licu,lipi,src,trk	Buy for my team	Learning: buy for my team (purchase)
address	/premium/premium-perks	FAMILY	app	sibling	/premium/my-premium/<opaque>	J 127,J 131,J 136,J 137,J 138,M M4	-	J	R	a navigable page; no write segment	2	1	cap-premium-hub	main	False	audit+code+test	-	<X> <n> months on us	Premium: partner perks ('N months on us') -- OUT (lane Y2): partner offers ('months on us') -- a promotion for other companies' products, not a LinkedIn capability
address	/premium/sb/explore	FAMILY	app	sibling	/premium/my-premium/<opaque>	J 127,J 131,J 136,J 137,J 138,M M4	J 160	J	R	a navigable page; no write segment	2	1	cap-premium-hub	main	False	audit+code+test	-	See all features	Premium: explore all features -- OUT (lane Y2): 'See all features' -- a Premium feature tour, promotional navigation
address	/	NEW	chrome	-	-	-	-	-	R	a navigable page; no write segment	15	11	fixture/profile_topcard	aside+footer+header+main+none+section-footer	False	no	-	More | Hybrid	LinkedIn home (the logo link, the feed)
address	/accessibility	NEW	chrome	-	-	-	J 127,M C7	-	R	a navigable page; no write segment	40	19	fixture/job_detail_shell	footer+nav+section-footer	False	audit	licu,lipi	Accessibility	Accessibility statement (footer and nav menu)
