# THE JOBS SLICE'S DIRECTION COLUMN, AS A SIDE TABLE: one line per still-GAP
# row of _audit/_census/jobs.md, its direction (R, W or R+W), and -- for every
# row with a read half -- the page address that half needs and what the
# SHIPPED read boundary says about it.
#
# WHY A SIDE TABLE AND NOT A CENSUS COLUMN. _audit/2026-09-21-the-jobs-direction.md
# section 8 argues the census should NOT grow a sixth column: section 2 of
# jobs.md already carries direction per ROW-RANGE with its cost and
# reversibility beside it, and a per-row copy inside the census would drift
# from it. This file is the per-row reading, kept OUTSIDE the census and
# checked against it on every run.
#
# Method, definitions and every finding: _audit/2026-09-23-lane-l3-jobs.md
# Checked by scripts/check_jobs_directions.py, which exits 1 on: a still-GAP
# jobs row with no line or a line for a row that left GAP; a dir_phrase no
# longer written in the row's own capability cell; a dir_basis that section 2
# of jobs.md no longer bears out; an is_read_url, refusal or also_driven
# verdict the live boundary disagrees with; a source that no longer resolves;
# or any break in the vocabulary below. The read-address columns follow
# _audit/_census/read-addresses.tsv exactly, so one reader serves both.
#
# dir          R | W | R+W   (R+W: the row's own text names a read AND a write)
# dir_phrase   the words of the row's own capability cell that decide dir;
#              for R+W, the read word + the write word
# dir_basis    VERB             the phrase decides, and section 2's range
#                               cell agrees or names no single direction
#              VERB-OVER-RANGE  the phrase decides AGAINST a single-direction
#                               range cell in section 2 (recorded, not hidden)
#              COMPOUND         the row names both acts (R+W)
#              RESOLVED         the text alone did not settle it; the note
#                               argues the call
# class        ADMITTED | REFUSED | NO-ADDRESS | NEEDS-SESSION | UNDETERMINED
#              for a row with a read half; WRITE for a row with none
# basis        MEASURED | NAMED | INFERRED   (as read-addresses.tsv)
# source_kind  code-symbol | test-fixture | census-prose | prior-audit
# refusal      the shipped refusal's kind, read off assert_read_url
# gate         ADMITTED rows only: READER | PRESS-PERMITTED | MEASURE |
#              BUILT-UNFIRED | PRESS | RULING   (as read-addresses.tsv)
# also_driven  <address>=><is_read_url> ; ...   each re-driven on every check
#
# EVERY VARIABLE SEGMENT IS A PLACEHOLDER -- placeholder-org, placeholder,
# 1234567890, 12345. The allowlist patterns accept a SHAPE, not a value, so no
# verdict depends on the value standing there.
slice	row	dir	dir_phrase	dir_basis	class	address	basis	source_kind	source	is_read_url	refusal	gate	also_driven	note
J	16	R	Suggested filters	VERB	REFUSED	https://www.linkedin.com/jobs/search-results/?keywords=placeholder	MEASURED	test-fixture	tests/fixtures/notifications.html::search-results	False	NO-PATTERN	n/a	https://www.linkedin.com/jobs/search/?keywords=placeholder=>True	The suggestions belong to LinkedIn's AI (semantic) job search, and every semantic-search link this corpus holds lands on /jobs/search-results/: LinkedIn's own alert notifications (five in the tracked notifications fixture) and the recent-search anchors on the jobs home (six, each tagged origin=SEMANTIC_SEARCH_HISTORY, measured on the gitignored 2026-09-20 capture of the /jobs/alerts/ landing, and carried into the committed tests/fixtures/jobs_home_recent_searches.html). That address has no pattern. The 2026-09-19 needle was fired on the admitted CLASSIC /jobs/search/ (also driven), which is why it could not tell which mode served the page: the PATH is the mode observable it was missing. Corrects _audit/2026-09-21-the-jobs-direction.md, which filed this row ADMITTED on the classic address.
J	19	W	clear history	VERB	WRITE	-	-	census-prose	_audit/_census/jobs.md row 19	-	-	n/a	-	Clearing the history is destructive and not reversible. The control is drawn on the jobs home (/jobs/jam/, the landing of /jobs/alerts/) as a button labelled for clearing the search history -- measured on the gitignored 2026-09-20 capture of that landing. Write lane.
J	28	W	Report	VERB	WRITE	-	-	census-prose	_audit/_census/jobs.md row 28	-	-	n/a	-	Section 2 says so in its own cell for 24-30: 28 and 30 are W. A report behind a menu, not reversible. Write lane.
J	31	W	Create	VERB	WRITE	-	-	census-prose	_audit/_census/jobs.md row 31	-	-	n/a	-	Alert CREATE. /create is a forbidden substring and the alerts entry in readonly.py buys no write half. Write lane.
J	32	W	Create	VERB	WRITE	-	-	census-prose	_audit/_census/jobs.md row 32	-	-	n/a	-	Alert CREATE from a Page. Same substring as J 31. Write lane.
J	33	W	Edit	VERB	WRITE	-	-	census-prose	_audit/_census/jobs.md row 33	-	-	n/a	-	Alert EDIT; alert editing is a modal (section 2, 31-36). Write lane.
J	34	W	Delete	VERB	WRITE	-	-	census-prose	_audit/_census/jobs.md row 34	-	-	n/a	-	Alert DELETE; not reversible (the alert's history goes). /delete is a forbidden substring. Write lane.
J	35	W	Set alert frequency	VERB	WRITE	-	-	census-prose	_audit/_census/jobs.md row 35	-	-	n/a	-	Alert frequency is a setting; settings and /settings/ are forbidden substrings. Write lane.
J	36	W	Set alert delivery channel	VERB	WRITE	-	-	census-prose	_audit/_census/jobs.md row 36	-	-	n/a	-	Alert delivery channel is a setting, as J 35. Write lane.
J	37	R+W	List + manage	COMPOUND	ADMITTED	https://www.linkedin.com/jobs/jam/	MEASURED	prior-audit	_audit/2026-09-20-the-live-capture.md	True	-	MEASURE	https://www.linkedin.com/jobs/alerts/=>True	READ HALF ONLY; the manage half is the write lane's (J 33-J 36). /jobs/alerts/ (also driven) lands on the jobs home, which draws alerts only as an Alert On badge on RECENT searches -- read since 2026-09-23 by linkedin_recent_job_searches (J 18), per search. Three badges on the 2026-09-20 capture, against a five-alert inventory the linkedin-jobs skill holds from mail: whether that list carries EVERY alert is unmeasured, so the reader is a partial answer to this row until one live look compares the two. Range 37-40 in section 2 files R; the row's own text names a write.
