slice	row	state	class	basis	source
J	17	EXCLUDED-RULED	B	family=RETIRE-DEVICE-GEOLOCATION; op=NO; scope=YES; note=retired 2026-09-05 by a wave, on the location parameter already serving it	_audit/2026-09-05-decide-retire-rulings.md#### 3.7 `DEVICE-GEOLOCATION` ; _audit/2026-09-03-linkedin-gap-blockers.md#Needs his answer, and the answer is almost certainly
J	25	EXCLUDED-RULED	B	family=RETIRE-PANEL-NOT-OBSERVED; op=NO; scope=YES; note=retired on a measurement (panel not drawn for this account); a measurement, not a decision	_audit/2026-09-05-decide-retire-rulings.md#### 3.13 `PANEL-NOT-OBSERVED` ; _audit/2026-09-03-linkedin-gap-blockers.md#Needs his answer, and the answer is almost certainly
J	29	EXCLUDED-RULED	B	family=RETIRE-PANEL-NOT-OBSERVED; op=NO; scope=YES; note=retired on a measurement (panel not drawn for this account); a measurement, not a decision	_audit/2026-09-05-decide-retire-rulings.md#### 3.13 `PANEL-NOT-OBSERVED` ; _audit/2026-09-03-linkedin-gap-blockers.md#Needs his answer, and the answer is almost certainly
J	30	EXCLUDED-RULED	B	family=RETIRE-PANEL-NOT-OBSERVED; op=NO; scope=YES; note=retired on a measurement (panel not drawn for this account); a measurement, not a decision	_audit/2026-09-05-decide-retire-rulings.md#### 3.13 `PANEL-NOT-OBSERVED` ; _audit/2026-09-03-linkedin-gap-blockers.md#Needs his answer, and the answer is almost certainly
J	50	EXCLUDED-RULED	C	why=SILENCE; cites=readonly.py stage allowlist; note=the allowlist enumerates three stages and says the rest are absent because nothing builds them: allowlist silence	linkedin_server/readonly.py#deliberately absent -- nothing builds them ; _audit/2026-09-05-decide-retire-rulings.md#THE BOUNDARY IS NOT A REASON
J	51	EXCLUDED-RULED	C	why=SILENCE; cites=readonly.py stage allowlist; note=the allowlist enumerates three stages and says the rest are absent because nothing builds them: allowlist silence	linkedin_server/readonly.py#deliberately absent -- nothing builds them ; _audit/2026-09-05-decide-retire-rulings.md#THE BOUNDARY IS NOT A REASON
J	52	EXCLUDED-RULED	C	why=SILENCE; cites=readonly.py stage allowlist; note=the allowlist enumerates three stages and says the rest are absent because nothing builds them: allowlist silence	linkedin_server/readonly.py#deliberately absent -- nothing builds them ; _audit/2026-09-05-decide-retire-rulings.md#THE BOUNDARY IS NOT A REASON
J	53	EXCLUDED-RULED	C	why=REFUTED; cites=the mutation-verb denylist; note=the cited list is WRITE_VERBS, a check on tool NAMES; it also lists apply, save and follow, whose writes ship. It refuses no capability	linkedin_server/readonly.py#Verbs whose presence in a tool NAME would advertise a mutation.
J	60	EXCLUDED-RULED	B	family=APPLY-NO-GUESSED-STEPS; op=NO; scope=NO; note=the gate refuses to fill steps never seen; measuring them would lift it, so it is not an exclusion of the capability	linkedin_server/server.py#one guess this server does not make ; _audit/2026-08-25-cannot-vs-will-not.md#Anything whose request shape you would have to guess
J	61	EXCLUDED-RULED	B	family=APPLY-NO-GUESSED-STEPS; op=NO; scope=NO; note=the gate refuses to fill steps never seen; measuring them would lift it, so it is not an exclusion of the capability	linkedin_server/server.py#one guess this server does not make ; _audit/2026-08-25-cannot-vs-will-not.md#Anything whose request shape you would have to guess
J	62	EXCLUDED-RULED	B	family=APPLY-NO-GUESSED-STEPS; op=NO; scope=NO; note=the gate refuses to fill steps never seen; measuring them would lift it, so it is not an exclusion of the capability	linkedin_server/server.py#one guess this server does not make ; _audit/2026-08-25-cannot-vs-will-not.md#Anything whose request shape you would have to guess
J	63	EXCLUDED-RULED	B	family=APPLY-NO-GUESSED-STEPS; op=NO; scope=NO; note=the gate refuses to fill steps never seen; measuring them would lift it, so it is not an exclusion of the capability	linkedin_server/server.py#one guess this server does not make ; _audit/2026-08-25-cannot-vs-will-not.md#Anything whose request shape you would have to guess
J	64	EXCLUDED-RULED	B	family=APPLY-NO-GUESSED-STEPS; op=NO; scope=NO; note=the gate refuses to fill steps never seen; measuring them would lift it, so it is not an exclusion of the capability	linkedin_server/server.py#one guess this server does not make ; _audit/2026-08-25-cannot-vs-will-not.md#Anything whose request shape you would have to guess
J	65	EXCLUDED-RULED	B	family=APPLY-NO-GUESSED-STEPS; op=NO; scope=NO; note=the gate refuses to fill steps never seen; measuring them would lift it, so it is not an exclusion of the capability	linkedin_server/server.py#one guess this server does not make ; _audit/2026-08-25-cannot-vs-will-not.md#Anything whose request shape you would have to guess
J	66	EXCLUDED-RULED	B	family=OFF-DOMAIN-FORM; op=NO; scope=YES; note=an applicant-tracking or partner form on another domain; 2026-08-25 records this refusal was never put to the operator	linkedin_server/server.py#OFF-SITE POSTINGS ARE REPORTED, NOT DRIVEN ; _audit/2026-08-25-cannot-vs-will-not.md#Driving an off-site applicant-tracking system stays, and it was NOT part of
J	67	EXCLUDED-RULED	B	family=OFF-DOMAIN-FORM; op=NO; scope=YES; note=an applicant-tracking or partner form on another domain; 2026-08-25 records this refusal was never put to the operator	linkedin_server/server.py#OFF-SITE POSTINGS ARE REPORTED, NOT DRIVEN ; _audit/2026-08-25-cannot-vs-will-not.md#Driving an off-site applicant-tracking system stays, and it was NOT part of
J	69	EXCLUDED-RULED	B	family=DRAFT-DELETE-NOT-PRESSED; op=NO; scope=YES; note=a delete of a draft application	linkedin_server/server.py#never pressed from here
J	71	EXCLUDED-RULED	B-lifted	family=JOBS-APPLICATION-SUBSTRING; op=NO; scope=NO; lifted=APPLY-CONNECT-INMAIL-CUT+READ-ONLY-NO-WRITES; remaining=-; note=stored resumes live under /jobs/application-settings/, caught by a prefix with no argument recorded; the registered general form keeps a class filter catching an address GAP	linkedin_server/readonly.py#"/jobs/application", ; _audit/2026-09-19-two-census-conventions-ruled.md#a filter that catches the ADDRESS ; _audit/2026-09-23-exclusion-audit.md#At 18:15 the OPERATOR ruled "(b)": the linkedin MCP may connect, message,
J	73	EXCLUDED-RULED	B-lifted	family=JOBS-APPLICATION-SUBSTRING; op=NO; scope=EXTENDED; lifted=APPLY-CONNECT-INMAIL-CUT+READ-ONLY-NO-WRITES; remaining=-; note=an application record, the nearest thing to what the prefix plausibly targeted; no argument recorded for it	linkedin_server/readonly.py#"/jobs/application", ; _audit/2026-09-23-exclusion-audit.md#At 18:15 the OPERATOR ruled "(b)": the linkedin MCP may connect, message,
J	74	EXCLUDED-RULED	B	family=SETTINGS-BY-NAME; op=YES; scope=YES; note=a job-seeking data preference nobody has named	_audit/2026-08-31-linkedin-finish.md#ONE NAMED settings page below ; linkedin_server/server.py#BY NAME on the operator's ruling
J	75	EXCLUDED-RULED	B	family=SETTINGS-BY-NAME; op=YES; scope=YES; note=a job-seeking data preference nobody has named	_audit/2026-08-31-linkedin-finish.md#ONE NAMED settings page below ; linkedin_server/server.py#BY NAME on the operator's ruling
J	76	EXCLUDED-RULED	B	family=SETTINGS-BY-NAME; op=YES; scope=YES; note=a job-seeking data preference nobody has named	_audit/2026-08-31-linkedin-finish.md#ONE NAMED settings page below ; linkedin_server/server.py#BY NAME on the operator's ruling
J	77	EXCLUDED-RULED	B	family=SETTINGS-BY-NAME; op=YES; scope=YES; note=a job-seeking data preference nobody has named	_audit/2026-08-31-linkedin-finish.md#ONE NAMED settings page below ; linkedin_server/server.py#BY NAME on the operator's ruling
J	84	EXCLUDED-RULED	C	why=REFUTED; cites=the mutation-verb denylist; note=the cited list is WRITE_VERBS, a check on tool NAMES; it also lists apply, save and follow, whose writes ship. It refuses no capability	linkedin_server/readonly.py#Verbs whose presence in a tool NAME would advertise a mutation.
J	87	EXCLUDED-RULED	B	family=SETTINGS-BY-NAME; op=YES; scope=YES; note=a job-seeking data preference nobody has named	_audit/2026-08-31-linkedin-finish.md#ONE NAMED settings page below ; linkedin_server/server.py#BY NAME on the operator's ruling
J	89	EXCLUDED-RULED	B	family=OTW-SPEC-NEVER-LOADED; op=CONTRARY; scope=YES; note=the spec refuses because the editor was never loaded; the 2026-08-25 document on the operator's ruling moved Open To Work to UNMEASURED	linkedin_server/writes.py#NEVER LOADED ; _audit/2026-08-23-build-linkedin.md#and approved **save/unsave, follow, Open To ; _audit/2026-08-25-cannot-vs-will-not.md#Open To Work -- I am OVERTURNING the pre-classification
J	90	EXCLUDED-RULED	B	family=OTW-SPEC-NEVER-LOADED; op=CONTRARY; scope=YES; note=the spec refuses because the editor was never loaded; the 2026-08-25 document on the operator's ruling moved Open To Work to UNMEASURED	linkedin_server/writes.py#NEVER LOADED ; _audit/2026-08-23-build-linkedin.md#and approved **save/unsave, follow, Open To ; _audit/2026-08-25-cannot-vs-will-not.md#Open To Work -- I am OVERTURNING the pre-classification
J	91	EXCLUDED-RULED	B	family=OTW-SPEC-NEVER-LOADED; op=CONTRARY; scope=YES; note=the spec refuses because the editor was never loaded; the 2026-08-25 document on the operator's ruling moved Open To Work to UNMEASURED	linkedin_server/writes.py#NEVER LOADED ; _audit/2026-08-23-build-linkedin.md#and approved **save/unsave, follow, Open To ; _audit/2026-08-25-cannot-vs-will-not.md#Open To Work -- I am OVERTURNING the pre-classification
J	92	EXCLUDED-RULED	B	family=OTW-SPEC-NEVER-LOADED; op=CONTRARY; scope=YES; note=the spec refuses because the editor was never loaded; the 2026-08-25 document on the operator's ruling moved Open To Work to UNMEASURED	linkedin_server/writes.py#NEVER LOADED ; _audit/2026-08-23-build-linkedin.md#and approved **save/unsave, follow, Open To ; _audit/2026-08-25-cannot-vs-will-not.md#Open To Work -- I am OVERTURNING the pre-classification
J	93	EXCLUDED-RULED	B	family=OTW-SPEC-NEVER-LOADED; op=CONTRARY; scope=YES; note=the spec refuses because the editor was never loaded; the 2026-08-25 document on the operator's ruling moved Open To Work to UNMEASURED	linkedin_server/writes.py#NEVER LOADED ; _audit/2026-08-23-build-linkedin.md#and approved **save/unsave, follow, Open To ; _audit/2026-08-25-cannot-vs-will-not.md#Open To Work -- I am OVERTURNING the pre-classification
J	94	EXCLUDED-RULED	B	family=OTW-SPEC-NEVER-LOADED; op=CONTRARY; scope=YES; note=the spec refuses because the editor was never loaded; the 2026-08-25 document on the operator's ruling moved Open To Work to UNMEASURED	linkedin_server/writes.py#NEVER LOADED ; _audit/2026-08-23-build-linkedin.md#and approved **save/unsave, follow, Open To ; _audit/2026-08-25-cannot-vs-will-not.md#Open To Work -- I am OVERTURNING the pre-classification
J	95	EXCLUDED-RULED	B	family=OTW-SPEC-NEVER-LOADED; op=CONTRARY; scope=YES; note=the spec refuses because the editor was never loaded; the 2026-08-25 document on the operator's ruling moved Open To Work to UNMEASURED	linkedin_server/writes.py#NEVER LOADED ; _audit/2026-08-23-build-linkedin.md#and approved **save/unsave, follow, Open To ; _audit/2026-08-25-cannot-vs-will-not.md#Open To Work -- I am OVERTURNING the pre-classification
J	96	EXCLUDED-RULED	B	family=OTW-SPEC-NEVER-LOADED; op=CONTRARY; scope=YES; note=the spec refuses because the editor was never loaded; the 2026-08-25 document on the operator's ruling moved Open To Work to UNMEASURED	linkedin_server/writes.py#NEVER LOADED ; _audit/2026-08-23-build-linkedin.md#and approved **save/unsave, follow, Open To ; _audit/2026-08-25-cannot-vs-will-not.md#Open To Work -- I am OVERTURNING the pre-classification
J	97	EXCLUDED-RULED	B	family=OTW-SPEC-NEVER-LOADED; op=CONTRARY; scope=YES; note=the spec refuses because the editor was never loaded; the 2026-08-25 document on the operator's ruling moved Open To Work to UNMEASURED	linkedin_server/writes.py#NEVER LOADED ; _audit/2026-08-23-build-linkedin.md#and approved **save/unsave, follow, Open To ; _audit/2026-08-25-cannot-vs-will-not.md#Open To Work -- I am OVERTURNING the pre-classification
J	99	EXCLUDED-RULED	B	family=URL-UNREACHABLE-237; op=NO; scope=NO; note=inherited from P I12, whose measurement proves no navigation route only	_audit/_census/profile.md#measured: zero of 237 urls reach one ; _audit/2026-08-25-cannot-vs-will-not.md#Open To Work is not reachable BY NAVIGATION.
J	112	EXCLUDED-RULED	B	family=NAV-FROM-PAGE-CONTENT; op=NO; scope=YES; note=the lead ruled this row by name on 2026-09-19	_audit/_census/jobs.md#The lead's ruling, given on this wave's report
