row_id	blocker	evidence_class	source	locator	state_at_freeze	state_today	capability	note	reason_doc
J 9	JOB-SEARCH-PARAMS	LEDGER-EXPLICIT	_audit/2026-09-03-linkedin-gap-blockers.md	L381	GAP	COVERED-PROVEN	Filter: Easy Apply only	section 5 item 2 states the six rows	CANDIDATE-1-OF-10 SCORE-4 _audit/2026-09-20-job-search-params-built.md
J 10	COMPANY-ID-RESOLVER	LEDGER-EXPLICIT	_audit/2026-09-03-linkedin-gap-blockers.md	L382	GAP	COVERED-PROVEN	Filter: Company	"The company filter J 10 sits one blocker along (COMPANY-ID-RESOLVER)"	CANDIDATE-1-OF-7 SCORE-4 _audit/2026-09-05-routes-already-admitted.md
J 11	JOB-SEARCH-PARAMS	LEDGER-EXPLICIT	_audit/2026-09-03-linkedin-gap-blockers.md	L381	GAP	COVERED-PROVEN	Filter: Employment type / job type	section 5 item 2 states the six rows	CANDIDATE-1-OF-10 SCORE-4 _audit/2026-09-20-job-search-params-built.md
J 12	JOB-SEARCH-PARAMS	LEDGER-EXPLICIT	_audit/2026-09-03-linkedin-gap-blockers.md	L381	GAP	COVERED-PROVEN	Filter: Under 10 applicants	section 5 item 2 states the six rows	CANDIDATE-1-OF-10 SCORE-4 _audit/2026-09-20-job-search-params-built.md
J 13	JOB-SEARCH-PARAMS	LEDGER-EXPLICIT	_audit/2026-09-03-linkedin-gap-blockers.md	L381	GAP	COVERED-PROVEN	Filter: In your network	section 5 item 2 states the six rows	CANDIDATE-1-OF-10 SCORE-4 _audit/2026-09-20-job-search-params-built.md
J 14	JOB-SEARCH-PARAMS	LEDGER-EXPLICIT	_audit/2026-09-03-linkedin-gap-blockers.md	L381	GAP	COVERED-PROVEN	Filter: Fair chance employer	section 5 item 2 states the six rows	CANDIDATE-1-OF-10 SCORE-4 _audit/2026-09-20-job-search-params-built.md
J 15	ALL-FILTERS-PANEL	RECON-DOC	scripts/_probe_small_measures_live.py	L7	GAP	COVERED-PROVEN	The "All filters" panel as a surface	STRENGTH: STRONG, AND THE SOURCE IS A COMMITTED SOURCE FILE RATHER THAN AN AUDIT DOCUMENT -- a vein this recovery had not mined. The comment sits directly above the candidate addresses the probe actually exercised, so the row set is the thing the code was written against and not a later reconstruction of it. THE COMMENT: "/jobs/search/   ALL-FILTERS-PANEL (2 rows: J15, J16)". It STATES ITS OWN COUNT next to the ids, so the set and the arithmetic are in one breath and a reader cannot silently drop one. Two rows, the published two, and the ledger's 2R matches a panel-as-surface row and a suggested-filters row, both reads. NOTE ON J 15's STATE, SO IT IS NOT MISREAD AS AN ERROR: jobs.md now marks row 15 COVERED-PROVEN ("OPENED AND ENUMERATED LIVE 2026-09-19"). It is in this map because the map enumerates the GAP set AS FROZEN at 1c08e5f, and row 15 was GAP then. A row leaving GAP after the freeze is expected and is exactly what the builder's leave-count reports.	CANDIDATE-1-OF-7 SCORE-2 _audit/2026-09-03-linkedin-gap-blockers.md
J 16	ALL-FILTERS-PANEL	RECON-DOC	scripts/_probe_small_measures_live.py	L7	GAP	GAP	Suggested filters (adaptive, on AI search)	as J 15 -- named in the same committed comment in scripts/_probe_small_measures_live.py, which carries the blocker's ledger row number, its name and its row set on one line.	CANDIDATE-1-OF-7 SCORE-2 _audit/2026-09-03-linkedin-gap-blockers.md
J 17	DEVICE-GEOLOCATION	RECON-CENSUS-COMMITTED	_audit/2026-09-05-decide-retire-rulings.md	S1,990bbd3	GAP	EXCLUDED-RULED	Search from device current location	sole row, retired, flipped	CANDIDATE-1-OF-7 SCORE-4 _audit/2026-09-05-decide-retire-rulings.md
J 18	SEARCH-HISTORY-SURFACE	RECON-CENSUS-COMMITTED	_audit/_census/jobs.md	18-19	GAP	GAP	Recent searches: view and re-run	SWAPPED IN 2026-09-19, replacing N 95/N 96. THE LEDGER CHARGES THIS BLOCKER allowlist +1, denylist x1, WriteSpec, 1R/1W (2026-09-03-linkedin-gap-blockers.md:244) and jobs.md:428 states ALL FOUR for rows 18-19: 'a new read surface (/jobs/search-history/ or equivalent) on the allowlist; the clear is a destructive verb and delete/remove are on the mutation-verb' denylist -- a read plus a destructive write, which is the 1R/1W. THE ROWS IT REPLACES CANNOT SATISFY THAT CHARGE: network.md:583 prices N 95/N 96 inside 'People search + 13 filters', rows 79-96, an EIGHTEEN-row family marked READ and costed as 'One allowlist pattern for /search/results/people/ plus a query builder, and a person-card parser' -- no denylist, no WriteSpec, and no write at all. A READ-only pair cannot be a 1R/1W pair. The prior filing (settings-tail:222) states its own method as count-plus-split, which the jobs pair matches equally, so the standing rival rule voids it. N 95/N 96 are RELEASED TO UNASSIGNED rather than re-homed: their slice puts them in SEARCH-RESULTS-SURFACE, but that blocker reads COMPLETE 21/21 only because a later reconstruction carved them out to make the count land, so re-homing them would push it to 23 of 21 and FAIL the build. Where they belong is a separate question, now open and stated.	CANDIDATE-1-OF-10 SCORE-4 _audit/2026-09-19-the-row-walk.md
